solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,lhr04.mtx,4101,82682,1,1,0.304983,0.00193286,1.83723e+07,2.0278e-18,7,48.0469
MUMPS,lhr04.mtx,4101,82682,1,2,0.0252407,0.00167768,1.83723e+07,2.0278e-18,7,48.2852
MUMPS,lhr04.mtx,4101,82682,1,3,0.0249602,0.00150745,1.83723e+07,2.0278e-18,7,48.082
MUMPS,lhr04.mtx,4101,82682,1,4,0.025966,0.00176294,1.83723e+07,2.0278e-18,7,48.0938
MUMPS,lhr04.mtx,4101,82682,2,1,0.0231413,0.00109643,1.00427e+07,1.10844e-18,9,49.0664
MUMPS,lhr04.mtx,4101,82682,2,2,0.0250944,0.00128214,1.00427e+07,1.10844e-18,9,48.9297
MUMPS,lhr04.mtx,4101,82682,2,3,0.0599002,0.00148592,1.00427e+07,1.10844e-18,9,48.9844
MUMPS,lhr04.mtx,4101,82682,2,4,0.0228257,0.00135566,1.00427e+07,1.10844e-18,9,48.8398
MUMPS,lhr04.mtx,4101,82682,4,1,0.0356505,0.00126271,1.21772e+07,1.34403e-18,8,53.2617
MUMPS,lhr04.mtx,4101,82682,4,2,0.0385002,0.00167347,1.29133e+07,1.42527e-18,8,53.3359
MUMPS,lhr04.mtx,4101,82682,4,3,0.0331553,0.00146777,8.57849e+06,9.46832e-19,8,53.3281
MUMPS,lhr04.mtx,4101,82682,4,4,0.0410356,0.0016276,8.57849e+06,9.46832e-19,8,53.6367
